h3_07,muutos,vuosi,geometry
870899696ffffff,69,26170,"POLYGON ((24.717958225348532 60.111668377522534, 24.736695536992038 60.106870928032514, 24.75378384244745 60.113967414214585, 24.752135392730654 60.1258644385178, 24.73338686565301 60.130662430847664, 24.7162980073356 60.12356285550673, 24.717958225348532 60.111668377522534))"
870899698ffffff,3756,32200,"POLYGON ((24.80020866868 60.170948964417605, 24.818982735705195 60.166144167309504, 24.836132266730562 60.17323726623457, 24.83450832593258 60.18513825503315, 24.815723014290917 60.18994360698692, 24.79857289167889 60.18284741476151, 24.80020866868 60.170948964417605))"
870899699ffffff,718,24150,"POLYGON ((24.815723014290917 60.18994360698692, 24.83450832593258 60.18513825503315, 24.851673361146844 60.192231265863064, 24.850053687541667 60.20413272225342, 24.831257120622094 60.2089386314828, 24.814091486204372 60.201842526509544, 24.815723014290917 60.18994360698692))"
87089969affffff,-10,18105,"POLYGON ((24.82061093129893 60.15424364919416, 24.839376830258075 60.14943369258939, 24.856525761155346 60.15652369744344, 24.85490939682816 60.1684267524381, 24.836132266730562 60.17323726623457, 24.818982735705195 60.166144167309504, 24.82061093129893 60.15424364919416))"
87089969bffffff,262,16100,"POLYGON ((24.836132266730562 60.17323726623457, 24.85490939682816 60.1684267524381, 24.872073824289526 60.175516668356465, 24.87046173301633 60.18742019244589, 24.851673361146844 60.192231265863064, 24.83450832593258 60.18513825503315, 24.836132266730562 60.17323726623457))"
87089969cffffff,7274,32200,"POLYGON ((24.76430304490282 60.16865177568512, 24.78307403482366 60.16385269045476, 24.80020866868 60.170948964417605, 24.79857289167889 60.18284741476151, 24.779790654332004 60.18764705006551, 24.76265544503246 60.18054768441899, 24.76430304490282 60.16865177568512))"
87089969dffffff,788,32200,"POLYGON ((24.779790654332004 60.18764705006551, 24.79857289167889 60.18284741476151, 24.815723014290917 60.18994360698692, 24.814091486204372 60.201842526509544, 24.7952979907504 60.20664271431153, 24.778147285113814 60.199543429558204, 24.779790654332004 60.18764705006551))"
87089969effffff,267,26155,"POLYGON ((24.784714048378017 60.15195471237565, 24.80347688143974 60.147150467689904, 24.82061093129893 60.15424364919416, 24.818982735705195 60.166144167309504, 24.80020866868 60.170948964417605, 24.78307403482366 60.16385269045476, 24.784714048378017 60.15195471237565))"
8708996a0ffffff,-498,32200,"POLYGON ((24.615772849717384 60.19502993872444, 24.634550777348696 60.19025828567474, 24.651641761402818 60.19737020979463, 24.64995533138035 60.209256871659775, 24.63116612123405 60.2140290557661, 24.61407462727712 60.206914046424274, 24.615772849717384 60.19502993872444))"
8708996a1ffffff,2910,32200,"POLYGON ((24.63116612123405 60.2140290557661, 24.64995533138035 60.209256871659775, 24.66706177271838 60.21636873475515, 24.665379524927296 60.22825586750308, 24.64657902147078 60.23302858507533, 24.62947206277117 60.22591363590558, 24.63116612123405 60.2140290557661))"
8708996a2ffffff,0,24150,"POLYGON ((24.636241377350437 60.17837209775844, 24.655011177439487 60.17359528083933, 24.672101642957504 60.18070411894644, 24.670422830565915 60.192592859458784, 24.651641761402818 60.19737020979463, 24.634550777348696 60.19025828567474, 24.636241377350437 60.17837209775844))"
8708996a3ffffff,7948,32200,"POLYGON ((24.651641761402818 60.19737020979463, 24.670422830565915 60.192592859458784, 24.687528745900757 60.199701635691326, 24.685854121722738 60.21159084859417, 24.66706177271838 60.21636873475515, 24.64995533138035 60.209256871659775, 24.651641761402818 60.19737020979463))"
8708996a4ffffff,5580,32200,"POLYGON ((24.579922025289438 60.19268083528276, 24.59869679746459 60.18791487467934, 24.615772849717384 60.19502993872444, 24.61407462727712 60.206914046424274, 24.59528856994811 60.21168053331879, 24.578212023869906 60.20456238569797, 24.579922025289438 60.19268083528276))"
8708996a5ffffff,650,24150,"POLYGON ((24.59528856994811 60.21168053331879, 24.61407462727712 60.206914046424274, 24.63116612123405 60.2140290557661, 24.62947206277117 60.22591363590558, 24.610674709473827 60.23068065149487, 24.593582714268162 60.22356255772378, 24.59528856994811 60.21168053331879))"
8708996a6ffffff,4228,32200,"POLYGON ((24.600399171666 60.17603124248001, 24.619165827568718 60.17126011808414, 24.636241377350437 60.17837209775844, 24.634550777348696 60.19025828567474, 24.615772849717384 60.19502993872444, 24.59869679746459 60.18791487467934, 24.600399171666 60.17603124248001))"
8708996a8ffffff,946,32200,"POLYGON ((24.68250144660445 60.23536766409431, 24.701305086226057 60.23058923969326, 24.718441970322605 60.23769787572435, 24.716775759470654 60.24958802419142, 24.69796081844696 60.254366989253995, 24.680823393331742 60.247255264656054, 24.68250144660445 60.23536766409431))"
8708996a9ffffff,312,40250,"POLYGON ((24.69796081844696 60.254366989253995, 24.716775759470654 60.24958802419142, 24.733928162599494 60.256696581876476, 24.732266176930082 60.26858719351128, 24.713439923710787 60.27336670166342, 24.696286972014633 60.26625505455752, 24.69796081844696 60.254366989253995))"
8708996aaffffff,-724,24150,"POLYGON ((24.702975509902522 60.218699557471204, 24.72177098377604 60.21391596441656, 24.73890731821645 60.221021511098954, 24.737248732085348 60.2329137396525, 24.718441970322605 60.23769787572435, 24.701305086226057 60.23058923969326, 24.702975509902522 60.218699557471204))"
8708996abffffff,720,32200,"POLYGON ((24.718441970322605 60.23769787572435, 24.737248732085348 60.2329137396525, 24.75440057800119 60.24001920713741, 24.752746223016818 60.25191190036039, 24.733928162599494 60.256696581876476, 24.716775759470654 60.24958802419142, 24.718441970322605 60.23769787572435))"
8708996acffffff,270,32200,"POLYGON ((24.64657902147078 60.23302858507533, 24.665379524927296 60.22825586750308, 24.68250144660445 60.23536766409431, 24.680823393331742 60.247255264656054, 24.662011585760794 60.25202851811009, 24.644889139236266 60.24491363459066, 24.64657902147078 60.23302858507533))"
8708996adffffff,-22,24150,"POLYGON ((24.662011585760794 60.25202851811009, 24.680823393331742 60.247255264656054, 24.69796081844696 60.254366989253995, 24.696286972014633 60.26625505455752, 24.67746384951626 60.27102884631565, 24.66032589204066 60.263914033934476, 24.662011585760794 60.25202851811009))"
8708996aeffffff,536,24150,"POLYGON ((24.66706177271838 60.21636873475515, 24.685854121722738 60.21159084859417, 24.702975509902522 60.218699557471204, 24.701305086226057 60.23058923969326, 24.68250144660445 60.23536766409431, 24.665379524927296 60.22825586750308, 24.66706177271838 60.21636873475515))"
8708996b0ffffff,1508,32200,"POLYGON ((24.641306279200023 60.142710334745686, 24.660056708995786 60.13792888961949, 24.67713122798124 60.14503469817412, 24.675455840502334 60.15692503728535, 24.656694165791556 60.161707015785666, 24.639619127105856 60.15459812127544, 24.641306279200023 60.142710334745686))"
8708996b1ffffff,880,32200,"POLYGON ((24.656694165791556 60.161707015785666, 24.675455840502334 60.15692503728535, 24.692545778871693 60.164030788590544, 24.690874573313778 60.17592160467101, 24.672101642957504 60.18070411894644, 24.655011177439487 60.17359528083933, 24.656694165791556 60.161707015785666))"
8708996b2ffffff,744,32200,"POLYGON ((24.661736266176288 60.12603903054491, 24.68047858615435 60.121252428485725, 24.69755257685602 60.12835515029496, 24.69588477948604 60.14024756038327, 24.67713122798124 60.14503469817412, 24.660056708995786 60.13792888961949, 24.661736266176288 60.12603903054491))"
8708996b3ffffff,-466,32200,"POLYGON ((24.67713122798124 60.14503469817412, 24.69588477948604 60.14024756038327, 24.712974182114973 60.14735022409916, 24.711310572605814 60.15924311266795, 24.692545778871693 60.164030788590544, 24.675455840502334 60.15692503728535, 24.67713122798124 60.14503469817412))"
8708996b4ffffff,-334,8050,"POLYGON ((24.605499350198272 60.140377146579105, 24.624246644405623 60.13560138929425, 24.641306279200023 60.142710334745686, 24.639619127105856 60.15459812127544, 24.620860585332423 60.15937440717971, 24.6038004468552 60.1522623774116, 24.605499350198272 60.140377146579105))"
8708996b5ffffff,6604,32200,"POLYGON ((24.620860585332423 60.15937440717971, 24.639619127105856 60.15459812127544, 24.656694165791556 60.161707015785666, 24.655011177439487 60.17359528083933, 24.636241377350437 60.17837209775844, 24.619165827568718 60.17126011808414, 24.620860585332423 60.15937440717971))"
8708996b6ffffff,-86,8050,"POLYGON ((24.62593794805821 60.123714084350695, 24.644677143660587 60.1189331702041, 24.661736266176288 60.12603903054491, 24.660056708995786 60.13792888961949, 24.641306279200023 60.142710334745686, 24.624246644405623 60.13560138929425, 24.62593794805821 60.123714084350695))"
8708996c0ffffff,5470,32200,"POLYGON ((24.816571630779286 60.31601370480866, 24.835426748678067 60.31122163664619, 24.852655895755422 60.31832353004565, 24.851030532668556 60.330220586307306, 24.832164075828757 60.335013214496314, 24.814934324675946 60.32790822585416, 24.816571630779286 60.31601370480866))"
8708996c1ffffff,1070,32200,"POLYGON ((24.832164075828757 60.335013214496314, 24.851030532668556 60.330220586307306, 24.868275322942882 60.33732236644308, 24.86665427184625 60.349219870322635, 24.84777646527681 60.35401306100379, 24.830531063196407 60.346908184768466, 24.832164075828757 60.335013214496314))"
8708996c2ffffff,8716,32200,"POLYGON ((24.837056411183006 60.299325031102356, 24.855903286412094 60.294527784781614, 24.87313182076943 60.301626582174876, 24.87151409626816 60.31352572135186, 24.852655895755422 60.31832353004565, 24.835426748678067 60.31122163664619, 24.837056411183006 60.299325031102356))"
8708996c3ffffff,4410,32200,"POLYGON ((24.852655895755422 60.31832353004565, 24.87151409626816 60.31352572135186, 24.888758266083705 60.320624404627075, 24.887144859499326 60.33252399291162, 24.868275322942882 60.33732236644308, 24.851030532668556 60.330220586307306, 24.852655895755422 60.31832353004565))"
8708996c4ffffff,-4,16100,"POLYGON ((24.780505486141852 60.313694941795625, 24.799357507201833 60.308908609318586, 24.816571630779286 60.31601370480866, 24.814934324675946 60.32790822585416, 24.796070961813307 60.332695113549484, 24.77885625052082 60.32558692444005, 24.780505486141852 60.313694941795625))"
8708996c5ffffff,-20,32200,"POLYGON ((24.796070961813307 60.332695113549484, 24.814934324675946 60.32790822585416, 24.832164075828757 60.335013214496314, 24.830531063196407 60.346908184768466, 24.81165634772245 60.35169563014206, 24.79442600115999 60.344587547022485, 24.796070961813307 60.332695113549484))"
8708996c6ffffff,10,10070,"POLYGON ((24.800999094240282 60.29701454059439, 24.819842883978154 60.29222302999943, 24.837056411183006 60.299325031102356, 24.835426748678067 60.31122163664619, 24.816571630779286 60.31601370480866, 24.799357507201833 60.308908609318586, 24.800999094240282 60.29701454059439))"
8708996c8ffffff,-4,8050,"POLYGON ((24.883914728686225 60.35632153162482, 24.902795612054955 60.35152259078439, 24.92007112285329 60.35862102910019, 24.91846638996441 60.37052150628102, 24.89957414900637 60.375321016908295, 24.88229800218782 60.3682194800193, 24.883914728686225 60.35632153162482))"
8708996caffffff,-20,24150,"POLYGON ((24.904404688113807 60.339622556497545, 24.92327729009637 60.33481843277887, 24.940552156226794 60.341913771767224, 24.938955068695073 60.353816333252865, 24.92007112285329 60.35862102910019, 24.902795612054955 60.35152259078439, 24.904404688113807 60.339622556497545))"
8708996ccffffff,-4,32200,"POLYGON ((24.84777646527681 60.35401306100379, 24.86665427184625 60.349219870322635, 24.883914728686225 60.35632153162482, 24.88229800218782 60.3682194800193, 24.863408835091565 60.37301323566486, 24.846147758686943 60.36590847740497, 24.84777646527681 60.35401306100379))"
8708996cdffffff,4,8050,"POLYGON ((24.863408835091565 60.37301323566486, 24.88229800218782 60.3682194800193, 24.89957414900637 60.375321016908295, 24.897961759750018 60.3872194067117, 24.87906122132141 60.3920137298005, 24.861784447151543 60.384909095094336, 24.863408835091565 60.37301323566486))"
8708996ceffffff,-192,32200,"POLYGON ((24.868275322942882 60.33732236644308, 24.887144859499326 60.33252399291162, 24.904404688113807 60.339622556497545, 24.902795612054955 60.35152259078439, 24.883914728686225 60.35632153162482, 24.86665427184625 60.349219870322635, 24.868275322942882 60.33732236644308))"
8708996d0ffffff,3808,32200,"POLYGON ((24.841938716714257 60.263631960206084, 24.86076605066037 60.25883010029899, 24.87797835923168 60.2659259103314, 24.876363951119497 60.27782667564657, 24.85752531625756 60.282629097814336, 24.840312394061755 60.275530191864505, 24.841938716714257 60.263631960206084))"
8708996d1ffffff,734,32200,"POLYGON ((24.85752531625756 60.282629097814336, 24.876363951119497 60.27782667564657, 24.893591864133345 60.284922376271844, 24.89198176727049 60.296823595289375, 24.87313182076943 60.301626582174876, 24.855903286412094 60.294527784781614, 24.85752531625756 60.282629097814336))"
8708996d2ffffff,3528,32200,"POLYGON ((24.862384757484133 60.24692979178751, 24.88120386697734 60.242122760691046, 24.898415553329826 60.24921547404346, 24.89680875603744 60.26111831463032, 24.87797835923168 60.2659259103314, 24.86076605066037 60.25883010029899, 24.862384757484133 60.24692979178751))"
8708996d3ffffff,5318,32200,"POLYGON ((24.87797835923168 60.2659259103314, 24.89680875603744 60.26111831463032, 24.914036039105333 60.268210917727515, 24.912433558946525 60.28011421351008, 24.893591864133345 60.284922376271844, 24.876363951119497 60.27782667564657, 24.87797835923168 60.2659259103314))"
8708996d4ffffff,1466,32200,"POLYGON ((24.805917126519116 60.261329080193924, 24.824741383427426 60.25653295125162, 24.841938716714257 60.263631960206084, 24.840312394061755 60.275530191864505, 24.82147683336466 60.28032687827031, 24.804278902751992 60.27322477501448, 24.805917126519116 60.261329080193924))"
8708996d5ffffff,2184,32200,"POLYGON ((24.82147683336466 60.28032687827031, 24.840312394061755 60.275530191864505, 24.85752531625756 60.282629097814336, 24.855903286412094 60.294527784781614, 24.837056411183006 60.299325031102356, 24.819842883978154 60.29222302999943, 24.82147683336466 60.28032687827031))"
8708996d6ffffff,4332,32200,"POLYGON ((24.82637198638533 60.2446351779981, 24.845188030130455 60.23983387790115, 24.862384757484133 60.24692979178751, 24.86076605066037 60.25883010029899, 24.841938716714257 60.263631960206084, 24.824741383427426 60.25653295125162, 24.82637198638533 60.2446351779981))"
